SIEMBRA,VERDE_ACTUAL,PRECIO_CHACRA,label,prediction
0.0,6.0,0.7,1.0,1.0
161.0,161.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.9,1.0,1.0
0.0,30.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,87.0,0.0,0.0,0.0
0.0,0.0,3.0,1.0,1.0
0.0,203.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0
0.0,2.0,1.2,1.0,1.0
0.0,635.0,1.6,1.0,1.0
11.0,14.0,1.26,1.0,1.0
0.0,619.0,0.0,0.0,0.0
0.0,65.0,0.0,0.0,0.0
0.0,50.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,35.0,0.6,1.0,1.0
0.0,125.0,3.28,1.0,1.0
0.0,16.0,0.0,0.0,0.0
0.0,14.0,0.3,1.0,1.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,1.0
0.0,140.0,1.0,1.0,1.0
1.0,1.0,0.8,1.0,1.0
0.0,16.0,0.0,0.0,0.0
0.0,0.0,1.5,1.0,1.0
0.0,10.0,0.0,0.0,0.0
0.0,291.0,0.0,0.0,0.0
0.0,23.0,0.7,1.0,1.0
0.0,0.0,3.31,1.0,1.0
0.0,3.0,0.0,0.0,0.0
0.0,0.0,1.9,1.0,1.0
0.0,45.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0
0.0,38.0,3.0,1.0,1.0
0.0,2.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0
0.0,22.0,1.26,1.0,1.0
0.0,4.0,0.0,0.0,0.0
0.0,79.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0
0.0,15.0,0.56,1.0,1.0
0.0,144.0,3.28,1.0,1.0
0.0,7.0,0.0,0.0,0.0
0.0,300.0,0.0,0.0,0.0
0.0,60.0,0.3,1.0,1.0
0.0,129.0,0.0,0.0,0.0
0.0,52.0,1.1,1.0,1.0
0.0,237.0,0.0,0.0,0.0
